Name,State_fips,Income2008,Income2009,Income2010,Income2011,Income2012,Income2013,Income2014,Income2015,IncomeRank,Food2008,Food2009,Food2010,Food2011,Food2012,Food2013,Food2014,Food2015,FoodRank,Health2008,Health2009,Health2010,Health2011,Health2012,Health2013,Health2014,Health2015,HealthRank,Transportation2008,Transportation2009,Transportation2010,Transportation2011,Transportation2012,Transportation2013,Transportation2014,Transportation2015,TransportationRank,Housing2008,Housing2009,Housing2010,Housing2011,Housing2012,Housing2013,Housing2014,Housing2015,HousingRank
New York,36,76825.90204,79980.21839,82160.70678,82317.79721,86097.24783,88966.30229,92427.30633,94999.49266,10,6352.08,6404.77,6615.44,6804.43,6456.459966,7107.430645,7182.473324,7250.02,18,2794.11,2906.82,2935.6,3159.49,3150.536765,3387.705117,3627.094902,3717.23,41,9014.21,8783.93,8657.28,7946.37,7800.800423,9149.737009,9780.668663,9908.23,29,17307.4,14156.8,14318.3,14597.7,13819.36092,18807.64606,18657.565,19225.95,15
North Carolina,37,65726.05806,63923.31862,66292.23148,66316.7882,67514.36426,69312.24952,72049.35146,74669.79133,35,6160.31,6127.74,6339.99,6396.61,6121.196668,6653.862369,6721.583653,6816.7,44,2762.01,2879.94,2913.42,3074.95,3102.894414,3280.000843,3489.885902,3581.03,45,8729.36,8459.04,8389.28,7419.22,7427.969821,8566.601084,9211.308894,9336.11,44,16571,13352.4,13637.4,13694.6,13184.98418,17634.23431,17443.11444,17904.03,44
North Dakota,38,55823.34162,63148.88133,64265.0607,64240.93809,68087.79715,69399.24175,75005.7719,77817.59597,28,6214.23,6367.59,6600.67,6647.88,6327.107656,6982.580678,7147.004791,7132.56,30,3008.6,3149.51,3186.73,3341.62,3429.961386,3600.230168,3859.737671,3955.4,16,8712.77,8775.48,8650.04,7712.07,7731.628152,9022.862412,9738.7231,9950.4,24,16246.4,13571.2,13834.9,13852.4,13379.52877,18035.08111,17910.82814,18599.22,29
Ohio,39,67865.5415,65226.92093,67853.27082,67923.90024,68214.19302,68601.43058,71897.07432,74688.31085,34,6378.2,6325.95,6541.31,6621.9,6260.960165,6824.080247,6917.007173,6965.83,38,2938.92,3046.53,3077.35,3254.95,3287.372813,3461.027617,3686.268458,3786.34,35,9080.23,8742.47,8635.78,7723.86,7642.893491,8815.698554,9464.082997,9637.57,38,17105.4,13710.5,13963.7,14065.9,13404.9598,17906.18528,17692.19555,18266.32,36
Oklahoma,40,55752.16355,62742.00268,61706.86167,61691.9592,64476.85055,65921.99414,67262.40036,69470.85986,46,6132.19,6263.82,6520.17,6529.98,6225.349406,6825.653097,6887.459086,6906.85,40,2922.86,3069.05,3118.25,3271.92,3325.530422,3488.256558,3707.394433,3806.77,32,8578.92,8635.83,8563.56,7539.61,7578.627748,8776.386413,9341.325706,9510.02,40,16142,13457.3,13786.4,13705.2,13228.73605,17729.51938,17382.0286,17964.45,42
Oregon,41,65689.9994,64318.40586,69579.53274,69626.13445,70716.88093,71509.50009,74189.26923,76895.85455,29,6477.63,6436.73,6691.35,6843.34,6464.962173,7087.62367,7182.280109,7187.29,20,3000.69,3094.28,3141.77,3362.85,3405.76158,3590.875949,3832.226337,3941.43,19,9190.81,8893.32,8794.88,7988.57,7889.491197,9163.582856,9761.55688,9956.56,23,17321.4,13931.5,14217.8,14427.5,13742.06976,18423.61936,18133.20293,18829.52,22
Pennsylvania,42,67241.06611,68869.47295,71688.11872,71763.72393,73401.85866,74724.79027,78276.97234,81168.13709,22,6366.63,6397.8,6618.55,6740.78,6377.780374,6997.378969,7099.522756,7137.93,28,3004.63,3129.18,3159.21,3342.76,3372.504269,3557.524282,3797.281668,3898.54,26,9044.72,8837.4,8728.03,7883.52,7799.667568,9057.783821,9720.796244,9913.15,28,17031.1,13882,14114.8,14287.6,13614.44137,18327.14878,18134.81324,18759.78,26
Rhode Island,44,68629.12062,72349.63222,77675.88626,77708.13047,78667.88404,80480.69734,83095.53649,86017.72354,17,6424.36,6495.8,6759.35,6953.91,6524.345103,7182.135676,7263.107655,7278.27,16,2975.84,3095.61,3138.13,3365.74,3381.314259,3587.12108,3820.873538,3927.26,21,9114.32,8937.11,8865.79,8165.5,7975.907201,9311.141882,9917.179894,10137.64,16,17226.5,14131.4,14412.1,14787.3,13920.20272,18835.50656,18540.37079,19225.48,16
South Carolina,45,62015.05219,61892.47903,63789.41678,63813.60567,64850.62514,65763.16752,68637.76241,71166.9391,42,5968.24,5965.4,6177.4,6233.8,5989.997885,6475.905287,6540.621164,6661.96,48,2667.4,2802.16,2840.19,3029.65,3048.401989,3219.294066,3422.788346,3505.75,47,8402.25,8225.61,8188.74,7219.74,7259.073689,8317.982004,8984.295311,9095.62,47,16010.7,13007.8,13322.7,13371.7,12936.57358,17202.14042,17047.50961,17453.64,47
South Dakota,46,57026.6098,59141.12339,64284.86729,64262.54301,66516.68466,66864.16289,70243.15601,72915.03247,40,6260.76,6287.9,6593.41,6690.03,6337.381102,6968.343754,7080.512839,7082.18,32,3029.01,3145.9,3201.11,3399.08,3448.956077,3617.76248,3861.689621,3968.78,13,8793.78,8660.21,8645.55,7762.86,7755.269116,9003.849676,9635.78127,9863.26,31,16402.1,13383.7,13835.4,13950.6,13418.54068,17998.5277,17707.81092,18421.14,32
Tennessee,47,62531.41015,62750.80101,64050.71381,64064.12817,64939.85458,65862.3426,68868.69697,71476.29798,41,6168.2,6167.47,6377.41,6436.99,6130.604422,6661.106694,6757.135552,6825.7,42,2856.01,2979.3,3008.05,3178.41,3211.392151,3373.72542,3595.288662,3689.7,42,8703.14,8505.55,8409.49,7454.46,7451.360385,8560.259025,9222.374121,9373.75,43,16432.7,13336.1,13604.6,13660.1,13124.38061,17489.9804,17322.2427,17834.43,45
Texas,48,68926.09802,72430.43715,72037.55155,72150.11179,75050.71984,77390.55845,80243.99754,82907.16918,19,6378.95,6455.43,6677.56,6749.21,6422.82528,7042.870551,7129.553983,7173.13,23,2850.8,2974.42,3006.41,3175.66,3207.960406,3413.555585,3642.474936,3741.76,40,9050.3,8902.46,8773.46,7836.21,7803.680375,9076.627172,9699.151318,9855.57,32,17114.6,14062.1,14292.4,14334.6,13698.66457,18473.82337,18254.47919,18842.14,21
Utah,49,71449.06663,73622.33544,76453.17587,76474.6222,77777.47739,79065.52494,81613.23864,84657.45654,18,6776.41,6831.36,7047.52,7214.3,6818.365619,7494.958195,7593.304716,7564.02,8,3063.45,3178.46,3207.34,3424.19,3473.690702,3690.927236,3937.223535,4058.39,3,9760.58,9509.9,9308.92,8449.53,8396.93273,9785.785578,10389.38581,10616.19,7,18110.3,14754.3,14969.8,15163.4,14466.04003,19454.311,19071.29104,19843.97,10
Vermont,50,65191.51325,68231.6047,71338.61329,71348.72676,73159.53814,74448.78601,77647.60523,80718.06541,23,6512.23,6570.75,6847.51,6931.97,6518.84319,7169.162338,7277.421645,7278.98,15,3084.29,3205.44,3262,3482.04,3535.756285,3732.762294,3973.120766,4093.53,2,9265.11,9104.27,9044.35,8155.81,8030.093502,9337.092134,9984.073361,10233.88,15,17309.7,14163.9,14494.8,14583.5,13856.24337,18626.28192,18334.33914,19085.74,18
Virginia,51,77664.42881,80779.6802,85602.68343,85750.99729,90072.06197,92554.98411,96753.66711,99833.83725,6,6448.21,6522.7,6734.94,6930.06,6610.230755,7263.368657,7356.764207,7431.03,13,2794.05,2918.44,2947.14,3179.1,3208.859002,3441.146613,3686.28507,3773.15,37,9258.34,9028.53,8929.95,8184.94,8085.533739,9458.675437,10156.38592,10296.64,13,17683,14489.5,14690,14986.6,14235.98259,19392.509,19279.09582,19846.02,9
Washington,53,72608.11987,72760.55547,78403.26636,78538.45085,81062.57362,83462.44012,86569.29797,89541.2083,13,6650.73,6649.62,6944.35,7084.09,6718.526527,7406.839094,7496.359771,7504.31,9,2972.52,3068.76,3207.63,3346.28,3381.692351,3612.297639,3862.638656,3966.95,14,9494.33,9226.87,9147.14,8330.21,8205.311751,9637.841235,10236.15391,10400.2,10,17970.5,14564.3,14766.3,15044.5,14315.56859,19376.85082,19103.58239,19817.61,11
West Virginia,54,50795.79932,54032.85624,55516.49491,55508.37825,56773.70201,57239.7793,60738.56191,63279.83856,51,6056.86,6095.16,6336.1,6449.63,6100.454738,6678.231487,6810.211268,6824.37,43,3041.8,3176.51,3228.74,3406.81,3468.83833,3590.189223,3835.187785,3933.92,20,8409.48,8391.05,8290.06,7410.51,7421.930812,8541.767992,9198.62847,9402.92,42,15724.3,12925.1,13222.4,13374.9,12873.91988,17148.77712,16976.83936,17611.54,46
Wisconsin,55,68055.27028,67084.21052,71305.86131,71346.76319,71644.41225,72337.14658,75405.24118,78342.72069,26,6513.37,6489.98,6742.45,6834.85,6459.19588,7064.271483,7159.82008,7171.32,25,3026.04,3132.73,3175.54,3361.46,3413.369898,3597.352991,3833.38551,3943.09,18,9291.52,8989.74,8903.58,8010.88,7924.312885,9174.403549,9808.052546,10009.38,19,17375,14006,14304.8,14425.4,13767.06864,18417.05628,18124.49995,18786.2,23
Wyoming,56,60142.8356,71028.01695,72071.65506,72051.3327,75976.00213,76981.12676,78990.46999,82124.66523,21,6380.65,6596.39,6907.6,6955.91,6605.798458,7276.564085,7371.184177,7338.43,14,3040.76,3196.28,3256.68,3451.96,3510.840047,3716.181982,3949.588315,4048.22,4,9006.51,9147.6,9123.27,8179.63,8144.006881,9492.60337,10098.92987,10317.5,12,16774.1,14159.1,14546.9,14576.7,13992.89727,18875.82395,18486.95073,19199.19,17
